Name,Age,Nationality,Club
Paulinho,30,Brazil,Gyeongnam FC
S. Posch,21,Austria,TSG 1899 Hoffenheim
N. Rapp,21,Germany,FC Erzgebirge Aue
P. Sandler,21,Netherlands,Manchester City
Jorge Fernandes,21,Portugal,CD Tondela
O. Mazuch,29,Czech Republic,Hull City
Nicolas,30,Brazil,Udinese
J. Lowe,23,England,Portsmouth
J. Glesnes,24,Norway,Strømsgodset IF
J. Spence,28,England,Ipswich Town
S. Sirigu,29,Germany,SV Darmstadt 98
E. Salli,25,Cameroon,1. FC Nürnberg
C. Arrieta,22,Colombia,Envigado FC
Dani Nieto,27,Spain,CD Numancia
S. Allagbé,24,Benin,Chamois Niortais Football Club
S. Kurumaya,26,Japan,Kawasaki Frontale
J. Fontaine,29,France,Le Havre AC
L. Schmitz,29,Germany,Wolfsberger AC
Joãozinho,28,Portugal,CD Tondela
C. Moţi,33,Romania,
R. Strauß,31,Germany,1. FC Heidenheim 1846
F. Gulbrandsen,25,Norway,FC Red Bull Salzburg
C. Edwards,24,England,Östersunds FK
Auremir,26,Brazil,BB Erzurumspor
S. Rincón,24,Colombia,Vitória Guimarães
J. Harrop,22,England,Preston North End
A. Kwarasey,30,Ghana,Vålerenga Fotball
J. Fejzić,32,Bosnia Herzegovina,1. FC Magdeburg
Cláudio Falcão,23,Brazil,CD Aves
B. Sosa,20,Croatia,VfB Stuttgart
D. Marcq,29,France,SV Zulte-Waregem
P. Seguin,23,Germany,VfL Wolfsburg
Z. Yıldırım,27,Turkey,Antalyaspor
S. Fortès,26,Cape Verde,Toulouse Football Club
T. Iwanami,24,Japan,Urawa Red Diamonds
J. Carrasso,30,France,Stade de Reims
M. Vilhjálmsson,31,Iceland,Rosenborg BK
Helton Leite,27,Brazil,Boavista FC
M. Stefaniak,23,Germany,VfL Wolfsburg
Sergio Santos,23,Brazil,Audax Italiano
A. Kalulu,22,France,FC Basel 1893
Vinícius,28,Hungary,
D. Stockdale,32,England,Birmingham City
A. Blanco,30,Mexico,Pachuca
J. Butterfield,28,England,Derby County
Bruno Brígido,27,Brazil,CD Feirense
D. Tonucci,29,Italy,Foggia
N. Lima,23,United States,San Jose Earthquakes
A. Mitryushkin,22,Russia,FC Sion
B. Sagredo,29,Chile,San Luis de Quillota
Omar Perdomo,24,Spain,Gimnàstic de Tarragona
C. Kipré,21,France,Wigan Athletic
S. Escudero,29,Japan,Ulsan Hyundai FC
D. Llanos,28,Chile,Universidad Católica
J. Caicedo,28,Colombia,Independiente Medellín
M. Normann,22,Norway,Brighton & Hove Albion
C. Keita,22,Mali,KAS Eupen
J. Lazare Amani,20,Ivory Coast,KAS Eupen
S. Hain,29,Germany,SpVgg Unterhaching
K. Kraus,25,Germany,1. FC Kaiserslautern
Raillo,26,Spain,RCD Mallorca
M. Bašić,30,Croatia,Grasshopper Club Zürich
J. Carreño,21,Chile,Universidad Católica
P. Erras,23,Germany,1. FC Nürnberg
J. Peters,31,Netherlands,Willem II
J. Ruiz,24,Costa Rica,Al Fayha
J. Mansilla,31,Argentina,San Luis de Quillota
G. Monachello,24,Italy,Pescara
Jonaldo Monteiro,30,Brazil,Chapecoense
Y. Njie,24,Gambia,Boavista FC
P. Garcés,33,Chile,CD Antofagasta
J. Rassoul,22,Senegal,Sporting Lokeren
F. Schleusener,26,Germany,SV Sandhausen
C. Guanca,25,Argentina,Ettifaq FC
P. Abrahamsson,29,Sweden,BK Häcken
A. Abdi,31,Switzerland,Sheffield Wednesday
A. Barberis,24,Italy,Crotone
S. Rochet,25,Uruguay,Sivasspor
S. Çiftpınar,25,Turkey,Yeni Malatyaspor
M. Frydrych,28,Czech Republic,SK Slavia Praha
N. Chernov,22,Russia,PFC CSKA Moscow
M. Moreno,24,Argentina,Club Atlético Lanús
M. Autret,27,France,Stade Brestois 29
D. Diamantakos,25,Greece,FC St. Pauli
F. Honorat,21,France,Clermont Foot 63
R. Zapata,39,Colombia,Independiente Santa Fe
G. Taylor,20,Scotland,Kilmarnock
D. Davis,27,England,Birmingham City
S. Benrahma,22,Algeria,Brentford
P. Burner,22,France,OGC Nice
A. Mbengue,24,Senegal,Stade Malherbe Caen
J. Pi,24,France,Stade Brestois 29
S. Vegas,21,Chile,Monarcas Morelia
Hélder Tavares,28,Cape Verde,CD Tondela
S. Ekramy,34,Egypt,
Júlio César,23,Brazil,CD Nacional
M. Mustacchio,29,Italy,Perugia
Kim Jin Hyeon,30,Korea Republic,Cerezo Osaka
Héctor,27,Spain,CD Tenerife
Wang Dalei,29,China PR,Shandong Luneng TaiShan FC
G. Lovrencsics,29,Hungary,
Rui Silva,24,Portugal,Granada CF
F. Öztürk,31,Turkey,Akhisar Belediyespor
J. Ramis,28,Uruguay,Vélez Sarsfield
T. Serbest,24,Turkey,Kasimpaşa SK
M. Araujo,23,Peru,Club Atlético Talleres
L. Pernica,28,Czech Republic,Viktoria Plzeň
J. Fuentes,23,Chile,CD O'Higgins
R. Pich,29,Slovakia,Śląsk Wrocław
R. Schiavi,32,Italy,US Salernitana 1919
D. Warmerdam,22,Netherlands,FC Groningen
I. Gómez,21,Argentina,Estudiantes de La Plata
J. Rojas,35,Chile,San Luis de Quillota
Huang Bowen,30,China PR,Guangzhou Evergrande Taobao FC
J. Laso,27,Argentina,Vélez Sarsfield
T. Jodłowiec,32,Poland,Piast Gliwice
H. Hermannsson,23,Iceland,Brøndby IF
P. Forsell,27,Finland,Miedź Legnica
M. Bogado,33,Argentina,Club Atlético Huracán
R. Rodriguez,27,Switzerland,FC Zürich
T. Çalış,24,Turkey,Yeni Malatyaspor
R. Krauße,24,Germany,FC Ingolstadt 04
O. Ejaria,20,England,Rangers FC
H. Duljević,24,Bosnia Herzegovina,SG Dynamo Dresden
G. Arabidze,20,Georgia,CD Nacional
E. Pérez,29,Mexico,Tiburones Rojos de Veracruz
Felipe Silva,28,Brazil,Sanfrecce Hiroshima
M. Sonnleitner,31,Austria,SK Rapid Wien
T. Kirschbaum,31,Germany,Bayer 04 Leverkusen
J. Verhoek,29,Netherlands,MSV Duisburg
Q. Bernard,28,France,Stade Brestois 29
E. Ruud,34,Norway,Odds BK
W. Johnson,31,Canada,Orlando City SC
M. Hartmann,32,Germany,SC Fortuna Köln
F. Mattia,30,Argentina,San Martín de San Juan
Y. Opanasenko,27,Ukraine,Atiker Konyaspor
J. Grahl,29,Germany,VfB Stuttgart
B. van Polen,32,Netherlands,PEC Zwolle
F. Brorsson,22,Sweden,Malmö FF
D. Saint-Louis,23,Congo,Paris FC
J. Fuchs,20,Cameroon,FC Sochaux-Montbéliard
L. Coulibaly,22,Mali,Rangers FC
Jonathan Pereira,31,Spain,AD Alcorcón
C. Avinel,31,France,AC Ajaccio
Felipe Macedo,24,Brazil,Portimonense SC
M. Çelik,28,Turkey,Galatasaray SK
M. Etame,29,Cameroon,Alanyaspor
Adrián Diéguez,22,Spain,Deportivo Alavés
B. Shuttleworth,31,United States,Minnesota United FC
C. Salcido,38,Mexico,Guadalajara
J. Gastien,30,France,Clermont Foot 63
A. Vural,27,Turkey,Sivasspor
M. Roberts,27,England,Birmingham City
A. Mac Allister,19,Argentina,Argentinos Juniors
C. Schneuwly,30,Switzerland,FC Luzern
Edu Ramos,26,Spain,Cádiz CF
P. Calandria,36,Argentina,CD O'Higgins
J. Medranda,24,Colombia,Sporting Kansas City
L. Stulac,23,Slovenia,Parma
S. Moutoussamy,21,France,FC Nantes
M. Schönbächler,28,Switzerland,FC Zürich
N. Giannetti,27,Italy,Livorno
J. Joronen,25,Finland,FC København
Pablo Pérez,24,Spain,Real Sporting de Gijón
M. Dupé,25,France,FC Nantes
J. Roye,29,France,GFC Ajaccio
S. Rossbach,22,Norway,Odds BK
M. Diemers,24,Netherlands,Fortuna Sittard
Matheus Reis,23,Brazil,Rio Ave FC
Jon Toral,23,Spain,Hull City
L. Melano,25,Argentina,Portland Timbers
C. Kazim-Richards,31,Turkey,Lobos BUAP
P. Haring,25,Austria,Heart of Midlothian
G. Niedermeier,32,Germany,Melbourne Victory
A. O'Brien,24,Republic of Ireland,Millwall
J. Holt,25,Scotland,Fleetwood Town
S. Rosales,23,Argentina,Gimnasia y Esgrima La Plata
N. Reniero,23,Argentina,San Lorenzo de Almagro
L. Singh,20,South Africa,SC Braga
G. Papunashvili,22,Georgia,Real Zaragoza
S. Souprayen,29,France,AJ Auxerre
Tomeu Nadal,29,Spain,Albacete BP
B. Schmitz,23,Germany,1. FC Köln
A. Robinson,20,United States,Wigan Athletic
I. Jebali,26,Tunisia,Rosenborg BK
L. Damour,27,France,Cardiff City
M. Modolo,29,Italy,Venezia FC
M. Fossati,25,Italy,Hellas Verona
R. Echeverría,23,Chile,Universidad de Chile
H. Fertoli,23,Argentina,Newell's Old Boys
Jhonatan,27,Brazil,Moreirense FC
C. O'Dowda,23,Republic of Ireland,Bristol City
D. Monsalve,34,Colombia,Patriotas Boyacá FC
Brian Oliván,24,Spain,Cádiz CF
R. González,27,Argentina,Unión Española
P. Tsintotas,24,Greece,AEK Athens
M. Ponce,29,Mexico,Guadalajara
D. Novaretti,33,Argentina,Querétaro
A. Lang,25,Hungary,
S. Villa,22,Colombia,Boca Juniors
B. Nastić,23,Serbia,KRC Genk
S. Bornauw,19,Belgium,RSC Anderlecht
A. Karabulut,30,Turkey,Sivasspor
Isaac Becerra,30,Spain,Gimnàstic de Tarragona
L. Mühl,21,Germany,1. FC Nürnberg
L. Bénes,20,Slovakia,Borussia Mönchengladbach
M. Hansen,28,Denmark,FC Basel 1893
F. Espíndola,33,Argentina,San Martin de Tucumán
A. Matthews,26,Wales,Sunderland
R. Millar,36,Chile,Monarcas Morelia
A. Traustason,25,Iceland,Malmö FF
J. Zacaría,28,Argentina,Universidad de Chile
A. Bodzek,32,Poland,Fortuna Düsseldorf
Aníbal Capela,27,Portugal,Cosenza
M. Kolke,27,Germany,SV Wehen Wiesbaden
Emidio Hoffman,34,Brazil,Atlético Mineiro
I. Ganago,19,Cameroon,OGC Nice
O. Ben-Harush,28,Israel,Sporting Lokeren
R. Weil,30,Germany,1. FC Magdeburg
Álex Mula,21,Spain,Málaga CF
Tomané,25,Portugal,CD Tondela
C. Sapong,29,United States,Philadelphia Union
S. Asamoah,24,Togo,Sint-Truidense VV
J. Cavallaro,24,Argentina,Club Atlético Tigre
H. Choudhury,20,England,Leicester City
B. Pitman,30,England,Portsmouth
A. Kovácsik,27,Hungary,
K. Kawamata,28,Japan,Júbilo Iwata
M. Martínez,25,Argentina,Racing Club
J. Orejuela,25,Ecuador,
L. Caicedo,26,Ecuador,Tiburones Rojos de Veracruz
D. Vente,19,Netherlands,Feyenoord
M. Thiel,25,Germany,1. FC Heidenheim 1846
L. Galeano,26,Argentina,Club Atlético Aldosivi
F. Passlack,20,Germany,Norwich City
N. Daghfous,31,Tunisia,SV Sandhausen
T. Smith,28,New Zealand,Colorado Rapids
R. Leonard,26,England,Millwall
Filipe Melo,28,Portugal,GD Chaves
Undabarrena,23,Spain,CD Tenerife
H. Belkaroui,27,Algeria,Al Raed
R. Živković,21,Netherlands,KV Oostende
Arsénio,28,Portugal,Moreirense FC
M. Riquero,35,Uruguay,Club Deportes Temuco
T. van Weert,28,Netherlands,Aalborg BK
Césario Figueirido,34,Brazil,Atlético Paranaense
Brahim Díaz,18,Spain,Manchester City
Ratón,25,Spain,Real Zaragoza
D. Soddimo,30,Italy,Frosinone
Diego Caballo,24,Spain,Deportivo de La Coruña
L. Grimi,33,Argentina,Newell's Old Boys
A. Ienaga,32,Japan,Kawasaki Frontale
César,25,Brazil,Santa Clara
G. Prömel,23,Germany,1. FC Union Berlin
D. Cataño,26,Colombia,Deportes Tolima
O. Kolář,23,Czech Republic,SK Slavia Praha
M. Samassa,28,Mali,ESTAC Troyes
J. Pérez,29,Colombia,Atlético Bucaramanga
M. Richter,20,Germany,FC Augsburg
J. Hyka,30,Albania,San Jose Earthquakes
A. Hjulsager,23,Denmark,RC Celta
A. Sjöberg,27,Sweden,Colorado Rapids
M. Fernández,29,Uruguay,Audax Italiano
V. Muratori,30,France,AS Nancy Lorraine
E. Hovland,29,Norway,Rosenborg BK
D. Furman,25,Poland,Wisła Płock
G. Machín,35,Argentina,Argentinos Juniors
F. Starzyński,27,Poland,Zagłębie Lubin
K. Vandendriessche,28,France,KV Oostende
D. Romney,25,United States,LA Galaxy
S. Hagen,32,Norway,Odds BK
H. Nakagawa,23,Japan,Kashiwa Reysol
L. Tawamba,28,Cameroon,Al Taawoun
B. Bodin,26,Wales,Preston North End
Willian Rocha,29,Brazil,Nagoya Grampus
A. Traoré,28,Senegal,Çaykur Rizespor
D. Bisoli,24,Italy,Brescia
S. Ganvoula,22,Congo,VfL Bochum 1848
Kim Kee Hee,28,Korea Republic,Seattle Sounders FC
G. Barriga,33,Chile,Unión La Calera
R. Zentner,23,Germany,1. FSV Mainz 05
A. Schenetti,27,Italy,Cittadella
P. Szymiński,24,Poland,Palermo
K. Ziani,35,Algeria,US Orléans Loiret Football
H. Jurjus,24,Netherlands,De Graafschap
Rochinha,23,Portugal,Boavista FC
C. Manea,20,Romania,
O. Kakabadze,23,Georgia,FC Luzern
J. Choplin,33,France,AC Ajaccio
C. Pasquato,28,Italy,Legia Warszawa
Muralha,25,Brazil,Al Hazem
M. Romeo,22,Antigua & Barbuda,Millwall
Minhoca,30,Portugal,Santa Clara
C. Núñez,25,Uruguay,Unión La Calera
K. Zachariassen,23,Norway,Sarpsborg 08 FF
N. Frey,34,France,Chievo Verona
W. Sandilands,34,South Africa,Orlando Pirates
A. Vuletich,26,Argentina,US Salernitana 1919
C. Fandrich,27,Germany,FC Erzgebirge Aue
G. Bueno,24,Uruguay,Club Atlético Colón
K. Çelikay,30,Turkey,MKE Ankaragücü
G. Stewart,28,Scotland,Kilmarnock
C. Teuchert,21,Germany,FC Schalke 04
J. Larentowicz,34,United States,Atlanta United
Villalibre,20,Spain,Athletic Club de Bilbao
M. Grün,31,Germany,SV Darmstadt 98
M. van der Maarel,28,Netherlands,FC Utrecht
J. Obiang,24,Gabon,ESTAC Troyes
S. Kingsley,23,Scotland,Hull City
Gabrielzinho,22,Brazil,Rio Ave FC
F. Poli,29,Italy,Carpi
M. Cranie,31,England,Sheffield United
David Rocha,33,Spain,Gimnàstic de Tarragona
F. Bandinelli,23,Italy,Benevento
Vágner Norteiro,34,Brazil,Chapecoense
P. Rojas,26,Colombia,Jaguares de Córdoba
M. Tchokounté,29,France,Stade Malherbe Caen
J. Mutch,26,England,Vancouver Whitecaps FC
E. Boateng,24,Ghana,LA Galaxy
Avto,26,Georgia,GD Chaves
Alberto Perea,27,Spain,Cádiz CF
E. Flores,24,Peru,Monarcas Morelia
J. Stage,21,Denmark,Aarhus GF
G. Flores,32,Mexico,Cruz Azul
A. Bangoura,26,Guinea,Rayo Vallecano
P. Lugüercio,36,Argentina,Estudiantes de La Plata
I. Hagi,19,Romania,
M. Pedersen,21,Denmark,FC Nordsjælland
J. Lawrence,25,Wales,RSC Anderlecht
A. Mazzarani,28,Italy,US Salernitana 1919
A. O'Connor,25,Republic of Ireland,Bradford City
M. Bagayoko,28,Ivory Coast,
M. Pedersen,36,Norway,Tromsø IL
Danilo,28,Belgium,Antalyaspor
P. Ngawa,26,Belgium,Perugia
M. Somma,23,Italy,Deportivo de La Coruña
B. Webster,31,England,Millwall
S. Holmén,34,Sweden,IF Elfsborg
M. Zambelli,32,Italy,Foggia
A. Zreľák,24,Slovakia,1. FC Nürnberg
C. Canío,37,Chile,Club Deportes Temuco
Kaio Pantaleão,22,Brazil,Santa Clara
H. Mier,28,Mexico,Querétaro
P. McEleney,25,Northern Ireland,Dundalk
Cristiano,27,Portugal,Vitória de Setúbal
A. Oueslati,26,Tunisia,Al Fateh
C. Brannagan,22,England,Oxford United
E. Burgos,26,Argentina,AD Alcorcón
D. Graham,32,England,Blackburn Rovers
A. Aosman,23,Syria,SG Dynamo Dresden
Sergi Canós,21,Spain,Brentford
Mauriçio Clerez,26,Brazil,Vitória
Koke Vegas,22,Spain,Levante UD
J. Sainati,29,France,FC Lorient
P. Hofmann,25,Germany,Eintracht Braunschweig
Kang Sang Woo,24,Korea Republic,Pohang Steelers
V. Jugović,28,Croatia,Jeonnam Dragons
Márcio Velinha,30,Brazil,Chapecoense
R. Curtis,22,Republic of Ireland,Portsmouth
J. Andersson,21,Sweden,FC Midtjylland
F. Uzoho,19,Nigeria,Elche CF
A. Hammoudan,26,Morocco,Al Raed
Unai García,25,Spain,CA Osasuna
F. Mladenović,26,Serbia,Lechia Gdańsk
C. Ripley,25,England,Accrington Stanley
R. Andrich,23,Germany,1. FC Heidenheim 1846
V. Bozhikov,30,Bulgaria,
K. Sierhuis,20,Netherlands,Ajax
A. Escoto,25,Mexico,Deportivo Toluca
C. Rodríguez,23,Chile,CD Everton de Viña del Mar
Lee Keun Ho,33,Korea Republic,Ulsan Hyundai FC
D. González,35,Colombia,Independiente Medellín
Oh Beom Seok,33,Korea Republic,Gangwon FC
D. Ljubicic,20,Austria,SK Rapid Wien
G. Abán,31,Argentina,Unión La Calera
Raúl Cámara,34,Spain,CD Tenerife
E. Velasco,26,Colombia,Once Caldas
S. Nsoki,19,France,Paris Saint-Germain
R. Maniero,30,Italy,Cosenza
G. Piovi,23,Argentina,Gimnasia y Esgrima La Plata
D. Lemos,23,Colombia,Once Caldas
T. Mrčela,27,Australia,Perth Glory
Y. Yoshida,28,Japan,Sagan Tosu
C. Sheridan,29,Republic of Ireland,Jagiellonia Białystok
L. Burliga,30,Poland,Jagiellonia Białystok
S. Ezatolahi,21,Iran,Reading
M. Andersen,29,Denmark,FC Midtjylland
E. Özbir,28,Turkey,Yeni Malatyaspor
Merquelanz,23,Spain,Real Sociedad
A. La Gumina,22,Italy,Empoli
K. Londoño,24,Colombia,Once Caldas
D. Guastavino,33,Uruguay,Independiente Santa Fe
A. La Mantia,27,Italy,Lecce
M. Friedl,20,Austria,SV Werder Bremen
A. Turgeman,27,Israel,FK Austria Wien
T. Bašić,21,Croatia,FC Girondins de Bordeaux
R. Gabrielsen,26,Norway,Molde FK
M. Palmer,23,England,Rotherham United
V. Černý,20,Czech Republic,Ajax
J. Nolan,26,England,Ipswich Town
I. Rivero,26,Uruguay,Club Tijuana
Carlinhos,23,Brazil,FC Lugano
C. Baird,22,United States,Real Salt Lake
W. Kamavuaka,28,DR Congo,SV Darmstadt 98
A. Gabr,29,Egypt,
J. Drachmann,30,Denmark,Odense Boldklub
Jorge García,34,Spain,CF Rayo Majadahonda
R. Gall,23,United States,Malmö FF
Jorgino Baumer,34,Brazil,Chapecoense
P. McShane,32,Republic of Ireland,Reading
Eugeni,23,Spain,Albacete BP
Reguilón,21,Spain,Real Madrid
J. Carvallo,32,Peru,
T. Acar,32,Turkey,Sivasspor
E. Berko,23,Germany,SG Dynamo Dresden
G. Gil Romero,25,Argentina,Belgrano de Córdoba
F. Harek,35,Algeria,Nîmes Olympique
M. Asiri,31,Saudi Arabia,Al Ahli
F. Arancibia,21,Chile,Universidad de Chile
Y. Leiva,20,Chile,Universidad de Chile
L. Jallow,23,Gambia,US Salernitana 1919
M. Alphonse,28,France,Dijon FCO
K. Salazar,22,Colombia,Atlético Bucaramanga
J. Arce,33,Bolivia,
E. Fernández,23,France,CF Rayo Majadahonda
R. Benatelli,26,Germany,SG Dynamo Dresden
R. Becerra,30,Argentina,Deportes Iquique
Oh Seung Hoon,30,Korea Republic,Ulsan Hyundai FC
Fredinho Mutto,26,Brazil,Bahia
D. Zagorac,31,Croatia,Dinamo Zagreb
F. Di Tacchio,28,Italy,US Salernitana 1919
T. Watt,24,Scotland,St. Johnstone FC
S. Baldock,29,England,Reading
D. Valdés,27,Colombia,Boyacá Chicó FC
S. Moharrami,22,Iran,Dinamo Zagreb
T. Dangda,30,Thailand,Sanfrecce Hiroshima
S. Nicholson,23,Scotland,Colorado Rapids
T. Browning,24,England,Everton
Song Seung Min,26,Korea Republic,Pohang Steelers
Macedo,26,Brazil,Jeonnam Dragons
Y. Eteki,20,Cameroon,UD Almería
E. Alfonso,30,Italy,Brescia
D. Mattocks,27,Jamaica,DC United
R. Sanusi,26,Belgium,Grenoble Foot 38
Adrián Maideira,34,Brazil,Vitória
Soriano,20,Spain,Sevilla FC
T. Röcher,27,Austria,FC Ingolstadt 04
Gerard Badía,28,Spain,Piast Gliwice
M. Núñez,31,Argentina,Atlético Bucaramanga
S. Alakouch,19,France,Nîmes Olympique
L. Rose,26,Mauritius,FC Lorient
B. Thoelke,26,Germany,FC Admira Wacker Mödling
W. Droste,29,Netherlands,Heracles Almelo
Sun Ke,28,China PR,Tianjin Quanjian FC
I. Močinić,25,Croatia,SK Rapid Wien
A. Toşca,26,Romania,PAOK
Daniel Mestrança,34,Brazil,Sport Club do Recife
J. Arias,25,Uruguay,Club Atlético Talleres
M. Gorgelin,27,France,Olympique Lyonnais
Cristian Ceballos,25,Spain,Sint-Truidense VV
J. Croux,24,Belgium,Willem II
D. Kort,23,Poland,Wisła Kraków
J. Grant,23,England,Luton Town
I. Ledezma,22,Chile,Audax Italiano
R. Tavera,22,Colombia,Atlético Huila
Davide Eustáquio,26,Brazil,Santos
M. Kvesić,26,Bosnia Herzegovina,FC Erzgebirge Aue
K. Fortuné,28,France,ESTAC Troyes
J. Lundstram,24,England,Sheffield United
Y. Brecher,25,Switzerland,FC Zürich
S. Nachreiner,29,Germany, SSV Jahn Regensburg
Y. Thoelen,27,Belgium,KAA Gent
T. Deric,29,United States,Houston Dynamo
M. te Vrede,26,Netherlands,NAC Breda
Ha Tae Goon,30,Korea Republic,Jeonnam Dragons
G. Bunoza,30,Bosnia Herzegovina,Incheon United FC
D. Wydra,24,Austria,FC Erzgebirge Aue
L. Vigen Christensen,23,Denmark,Brøndby IF
M. Kuster,24,Austria,SV Mattersburg
S. Bolbat,25,Ukraine,Shakhtar Donetsk
D. Valoyes,21,Colombia,Club Atlético Talleres
C. Soukou,25,Benin,FC Hansa Rostock
Yu Yang,28,China PR,Beijing Sinobo Guoan FC
Jonaldo Santoso,26,Brazil,Sport Club do Recife
J. Agudelo,25,United States,New England Revolution
K. Barmen,24,Norway,SK Brann
Ricardo Nunes,32,South Africa,Pogoń Szczecin
S. Tarashaj,23,Switzerland,Grasshopper Club Zürich
A. Garofalo,33,Italy,Venezia FC
Sunny,29,Nigeria,Real Salt Lake
T. Kane,24,England,Hull City
O. Gaber,26,Egypt,
L. Payares,28,Colombia,Deportes Tolima
G. Nauber,26,Germany,MSV Duisburg
A. Montalto,30,Italy,US Cremonese
T. Pettersson,28,Sweden,Östersunds FK
F. Flores,31,Chile,CD Antofagasta
L. Henderson,22,Scotland,Hellas Verona
A. Fulignati,23,Italy,Empoli
R. Wood,32,England,Rotherham United
N. Helenius,27,Denmark,Odense Boldklub
C. Rodríguez,36,Argentina,Club Atlético Colón
M. Bueno,24,Mexico,CD Everton de Viña del Mar
S. Gonda,29,Japan,Sagan Tosu
P. Fabian,30,Germany,VfL Bochum 1848
R. M'Bolhi,32,Algeria,Ettifaq FC
T. Nguen,24,Norway,Strømsgodset IF
F. Kaplan,29,Turkey,Antalyaspor
J. Swift,23,England,Reading
G. Teigl,27,Austria,FC Augsburg
K. Moore,25,England,Barnsley
K. Redondo,23,Germany,1. FC Union Berlin
G. Gudiño,25,Argentina,San Lorenzo de Almagro
Tyronne,27,Spain,CD Tenerife
L. Puyo,29,France,Angers SCO
J. Vela,24,England,Bolton Wanderers
Rubén,34,Spain,CA Osasuna
M. Zenteno,34,Chile,Deportes Iquique
Anselmo Meirás,34,Brazil,Bahia
J. Valencia,20,Colombia,Bologna
L. Maina,19,Germany,Hannover 96
K. LuaLua,27,DR Congo,Luton Town
G. Corral,27,Mexico,Querétaro
U. Bech,25,Denmark,Brøndby IF
J. Ankersen,27,Denmark,Aarhus GF
Fausto Tienza,28,Spain,Extremadura UD
A. Robles,24,Chile,San Luis de Quillota
B. Lambot,31,Belgium,KSV Cercle Brugge
N. Bancu,25,Romania,
S. Kutschke,29,Germany,FC Ingolstadt 04
Pejiño,21,Spain,Sevilla FC
A. Djoum,29,Cameroon,Heart of Midlothian
S. McDermott,25,Republic of Ireland,Kristiansund BK
Marquinhos Pedroso,24,Brazil,FC Dallas
R. James,24,England,Sunderland
M. Balanta,28,Colombia,Alianza Petrolera
S. Taylor,32,England,Wellington Phoenix
B. Jović,27,Slovenia,Bursaspor
M. Calderoni,29,Italy,Lecce
B. Kumordzi,33,Ghana,KV Kortrijk
K. Holmberg,25,Sweden,IFK Norrköping
L. Ruiz,31,Colombia,Junior FC
L. Paganini,25,Italy,Frosinone
Guilherme Lazaroni,25,Brazil,Portimonense SC
A. Al Jebreen,28,Saudi Arabia,Al Nassr
S. Caldwell,27,United States,New England Revolution
Lee Gwang Hyeok,22,Korea Republic,Pohang Steelers
M. Taylor,28,England,Bristol City
J. Speroni,39,Argentina,Crystal Palace
C. Quaner,27,Germany,Huddersfield Town
R. Tunnicliffe,25,England,Millwall
David García,24,Spain,CA Osasuna
Nosberto Vila,34,Brazil,Sport Club do Recife
J. Koprivec,29,Slovenia,
J. Fuentes,34,Chile,Deportes Iquique
D. Gómez,29,Colombia,Atlético Huila
Thiago Martins,23,Brazil,Yokohama F. Marinos
A. Bobichon,22,France,Nîmes Olympique
L. Godoy,23,Argentina,Club Atlético Talleres
Im Seon Yeong,30,Korea Republic,Jeonbuk Hyundai Motors
L. Gooch,22,United States,Sunderland
E. O'Kane,27,Republic of Ireland,Leeds United
D. Buballa,28,Germany,FC St. Pauli
D. Murphy,35,Republic of Ireland,Nottingham Forest
A. Vasyutin,23,Russia,Sarpsborg 08 FF
Jiang Zhipeng,29,China PR,Hebei China Fortune FC
Yi Teng,28,China PR,Guangzhou R&F; FC
M. Putnocký,33,Slovakia,Lech Poznań
Eder Pinhanços,34,Brazil,Botafogo
T. Awoniyi,20,Nigeria,KAA Gent
S. Colombatto,21,Argentina,Hellas Verona
Yoon Bo Sang,24,Korea Republic,Sangju Sangmu FC
T. Guidara,22,Argentina,Belgrano de Córdoba
J. Bela,25,France,Albacete BP
Z. Clough,23,England,Rochdale
J. Pitroipa,32,Burkina Faso,Paris FC
B. Brereton,19,England,Blackburn Rovers
Y. Bárcenas,24,Panama,Real Oviedo
P. Sammarco,35,Italy,Frosinone
M. Cafaro,21,France,Stade de Reims
A. Nuhiu,28,Kosovo,Sheffield Wednesday
P. Jagne,28,Gambia,FC Zürich
Y. Endo,30,Japan,Kashima Antlers
T. Schick,28,Austria,BSC Young Boys
A. Asiri,26,Saudi Arabia,Al Ittihad
E. Palomeque,25,Colombia,Deportivo Cali
N. Cherubin,31,Italy,Hellas Verona
P. Iliev,26,Bulgaria,
R. Farfán,26,Chile,Club Deportes Temuco
G. Mencia,29,Paraguay,CD Universidad de Concepción
F. Dagerstål,21,Sweden,IFK Norrköping
N. Citro,29,Italy,Venezia FC
R. Martin,32,Scotland,Walsall
F. Daprelà,27,Switzerland,FC Lugano
B. Başdaş,28,Turkey,Alanyaspor
A. Esaka,26,Japan,Kashiwa Reysol
T. Trevisan,34,Italy,Padova
A. Almici,25,Italy,Hellas Verona
